config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.20 frac=1.00,55,1.0,0.7,1.01375576184379,0.7973751600512163,1.254114813327981,-0.0006052879432964448,0.0037579068286472963,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,55,1.0,1.0,1.0196510883482715,0.8185819462227913,1.2216247922573076,-0.0005606658744011212,0.005368438326638995,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,56,1.0,0.3,1.0067884208814442,0.787770369165718,1.2694054500412884,0.00317345592535807,0.0019457847781163822,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,56,1.0,0.5,1.011314034802407,0.7958088423204701,1.256583172768144,0.0054651334656756105,0.0032429746301939908,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,56,1.0,0.7,1.0158396487233696,0.8038473154752224,1.2440173410404625,0.007897643211389442,0.004540164482271537,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,56,1.0,1.0,1.0226280696048138,0.8319819715168552,1.2019491217782248,0.011810468215078744,0.006485949260387919,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,57,1.0,0.3,1.0174367086657836,0.7653029789593665,1.3066720338130222,0.004461621274046768,0.004862927055951932,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,57,1.0,0.5,1.0290611811096393,0.7894704414528203,1.2666718695126233,0.008451528739852098,0.008104878426586531,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,57,1.0,0.7,1.040685653553495,0.813637903946274,1.2290479525964069,0.01325383083214356,0.01134682979722113,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,57,1.0,1.0,1.0581223622192786,0.8579449185176057,1.1655759926031652,0.02198052389524198,0.016209756853173062,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,58,1.0,0.3,1.0022259555213247,0.7936442989634479,1.2600103110500085,-4.5476597583400234e-05,0.0006124275408193683,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,58,1.0,0.5,1.0037099258688746,0.7978883861236803,1.2533081285444234,-5.8639837397098216e-05,0.0010207125680323425,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,58,1.0,0.7,1.0051938962164244,0.7978883861236803,1.2533081285444234,-5.80794836840127e-05,0.0014289975952452546,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,58,1.0,1.0,1.007419851737749,0.7978883861236803,1.2533081285444234,-3.1507215251761255e-05,0.0020414251360646226,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,59,1.0,0.3,1.0134577464788732,0.764219934994583,1.3085238348396242,-0.0018468383265384599,0.0037564610445948846,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,59,1.0,0.5,1.0224295774647887,0.776350410153227,1.2880781499202552,-0.002526143452875862,0.006260768407658142,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,59,1.0,0.7,1.0314014084507042,0.8046548521900635,1.2427688682647688,-0.0027639122394628236,0.008765075770721399,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,59,1.0,1.0,1.0448591549295774,0.8329592942268998,1.200538858178102,-0.0022926847823111344,0.012521536815316285,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,60,1.0,0.3,1.0028520796719391,0.7864186682288614,1.2715873114408096,-0.00028384188121535986,0.0007588673587673309,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,60,1.0,0.5,1.0047534661198985,0.7864186682288614,1.2715873114408096,-0.00044996176392274204,0.0012647789312788648,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,60,1.0,0.7,1.006654852567858,0.7864186682288614,1.2715873114408096,-0.0005975952161479367,0.0017706905037904578,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,60,1.0,1.0,1.009506932239797,0.7864186682288614,1.2715873114408096,-0.0007843833373315902,0.00252955786255773,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,62,1.0,0.3,1.0287133917396747,0.7360152571666964,1.3586674872060636,-0.004629678987205833,0.007277396088249189,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,62,1.0,0.5,1.0478556528994576,0.7574110495261934,1.3202870497143666,-0.0053277635318807505,0.012128993480415262,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,62,1.0,0.7,1.0669979140592407,0.7916443173013886,1.2631935556726643,-0.004115153585786244,0.01698059087258139,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,62,1.0,1.0,1.0957113057989154,0.8558316943798796,1.1684540389972145,0.001286313503548973,0.024257986960830584,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,63,1.0,0.3,1.0006499032882012,0.800889748549323,1.2486113123701879,-7.29355103901318e-05,0.00018888425711538796,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,63,1.0,0.5,1.001083172147002,0.8048742746615087,1.2424300682495433,-0.00012024050266293668,0.00031480709519226977,True,True,False,True,False,False
