seed,variant,selected_alpha,selected_boost,R2,RMSE,DI,EOD,AOD
51,"Single fixed candidate, alpha=0.5",0.5,1.0363075832742736,0.7310346102489325,2.0434689149610734,0.823070909938215,0.04235294117647059,0.004650253359770887
51,"Single fixed candidate, alpha=0.7",0.7,1.0508306165839831,0.7268024009339605,2.0594833031566875,0.8588566016746592,0.025210084033613467,0.015157130267837451
51,"Single fixed candidate, alpha=1.0",1.0,1.0726151665485473,0.7188784490829665,2.0891369300703833,0.8946422934111032,0.0023529411764705577,0.035948997576558714
51,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.020747190442442,0.7346365998521664,2.0297397073348327,0.7912614061724869,0.05378151260504194,0.021600494130236333
51,"No correction, same base (R2 label ""w/o HED"")",,,0.7379386451531106,2.0170716582225303,0.7236662106703146,0.10521008403361343,0.062296053252761774
52,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0699479329126378,0.7105690419225998,2.0684919001108995,0.8387959334957111,0.0255313079446583,0.011393104952721306
52,"Single fixed candidate, alpha=0.3",0.3,1.0209843798737912,0.7073869785775576,2.0798315299591557,0.7155829715132903,0.02125231778633585,0.0472928255598346
52,"Single fixed candidate, alpha=0.5",0.5,1.034973966456319,0.7091462180636694,2.0735699530746934,0.7345388118182781,0.02125231778633585,0.03944968830493264
52,"Single fixed candidate, alpha=0.7",0.7,1.0489635530388464,0.7102253947254729,2.0697195168411957,0.7629725722757599,0.0021394950791612244,0.02383221324473312
52,"Single fixed candidate, alpha=1.0",1.0,1.0699479329126378,0.7105690419225998,2.0684919001108995,0.8387959334957111,0.0255313079446583,0.011393104952721306
52,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0199851236893251,0.7072352958021093,2.0803705246774777,0.7155829715132903,0.02125231778633585,0.0472928255598346
52,"No correction, same base (R2 label ""w/o HED"")",,,0.7034730015528121,2.0936951849234458,0.6729323308270677,0.062187990300955676,0.07168223044459548
53,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1522981750695949,0.689845086608502,2.2239650387411993,0.8942871307340119,0.024137634962543175,0.046839706969142206
53,"Single fixed candidate, alpha=0.3",0.3,1.0456894525208784,0.7313985073697634,2.069630585436433,0.6981715318888339,0.08906991220726812,0.07014142510632948
53,"Single fixed candidate, alpha=0.5",0.5,1.0761490875347974,0.7235033839377236,2.0998270849570857,0.7883847073576157,0.0387554467984631,0.016682305609474132
53,"Single fixed candidate, alpha=0.7",0.7,1.1066087225487165,0.7124264345058845,2.1414754699102034,0.8472193870111692,0.001019597741859335,0.019166750994299445
53,"Single fixed candidate, alpha=1.0",1.0,1.1522981750695949,0.689845086608502,2.2239650387411993,0.8942871307340119,0.024137634962543175,0.046839706969142206
53,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0435137643055985,0.7318406912118556,2.067926324323471,0.6942492199119302,0.09535922038336875,0.0732860791943798
53,"No correction, same base (R2 label ""w/o HED"")",,,0.7372752687681992,2.0468645346994054,0.6040360444431483,0.18969884302487827,0.13555023013777606
54,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1099508164469802,0.7150502988858465,2.1204427120042024,0.8076367389060888,0.023934599484007335,0.020349068100679962
54,"Single fixed candidate, alpha=0.3",0.3,1.032985244934094,0.7177293412115318,2.110451174488544,0.6745098039215687,0.08053837306891298,0.047426502902299175
54,"Single fixed candidate, alpha=0.5",0.5,1.0549754082234901,0.7188789022404655,2.106149332469873,0.7144478844169248,0.07424906489281236,0.029244254829286456
54,"Single fixed candidate, alpha=0.7",0.7,1.076965571512886,0.718496461914667,2.10758146026937,0.7499484004127968,0.0616704485406111,0.011676751164464025
54,"Single fixed candidate, alpha=1.0",1.0,1.1099508164469802,0.7150502988858465,2.1204427120042024,0.8076367389060888,0.023934599484007335,0.020349068100679962
54,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0314145189848514,0.7175886072086464,2.110977221423819,0.6745098039215687,0.08053837306891298,0.047426502902299175
54,"No correction, same base (R2 label ""w/o HED"")",,,0.7131324971280087,2.1275663715766884,0.5990712074303406,0.14972076300602,0.09329589335957449
55,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0769421487603306,0.7022340891658541,2.1507097115172753,0.8401953418482344,0.005452635599694333,0.014725340282740612
55,"Single fixed candidate, alpha=0.3",0.3,1.0230826446280992,0.7150193952882876,2.1040301536490236,0.7247182569496619,0.051365546218487435,0.04966859911119875
55,"Single fixed candidate, alpha=0.5",0.5,1.0384710743801653,0.7124997394717805,2.1133110750422457,0.7486100676183319,0.04000190985485108,0.03641102335362301
55,"Single fixed candidate, alpha=0.7",0.7,1.0538595041322314,0.7090734526233514,2.1258664800794835,0.7844477836213374,0.017274637127578374,0.015577690020289678
55,"Single fixed candidate, alpha=1.0",1.0,1.0769421487603306,0.7022340891658541,2.1507097115172753,0.8401953418482344,0.005452635599694333,0.014725340282740612
55,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0219834710743803,0.7151646781897758,2.103493768770142,0.7247182569496619,0.051365546218487435,0.04966859911119875
