fold,seed,model,Acc,DI,EOD,AOD
1,80,DL,0.735,1.350333940497875,0.03999999999999998,0.026944444444444438
1,80,Debiased-HITL,0.735,1.350333940497875,0.03999999999999998,0.026944444444444438
1,80,FE-HITL,0.745,1.0127504553734061,0.0,0.034722222222222224
1,81,DL,0.72,1.6572280178837557,0.1542857142857143,0.0888949938949939
1,81,Debiased-HITL,0.705,1.139344262295082,0.005714285714285672,0.004993894993894979
1,81,FE-HITL,0.705,0.9321907600596125,0.04571428571428571,0.038882783882783885
1,82,DL,0.72,1.4106167056986727,0.07428571428571429,0.03981379731379731
1,82,Debiased-HITL,0.72,1.4106167056986727,0.07428571428571429,0.03981379731379731
1,82,FE-HITL,0.71,0.9765807962529274,0.04571428571428571,0.03407509157509157
1,83,DL,0.755,1.4241803278688523,0.17714285714285716,0.05865689865689866
1,83,Debiased-HITL,0.755,1.4241803278688523,0.17714285714285716,0.05865689865689866
1,83,FE-HITL,0.73,0.9494535519125682,0.022857142857142854,0.041343101343101346
1,84,DL,0.735,1.4899117276166456,0.10857142857142854,0.06123015873015872
1,84,Debiased-HITL,0.735,1.4899117276166456,0.10857142857142854,0.06123015873015872
1,84,FE-HITL,0.73,0.8764186633039092,0.051428571428571435,0.06043650793650794
1,85,DL,0.725,0.9594477998274374,0.11428571428571427,0.05393772893772893
1,85,Debiased-HITL,0.725,0.9594477998274374,0.11428571428571427,0.05393772893772893
1,85,FE-HITL,0.725,0.9594477998274374,0.11428571428571427,0.05393772893772893
1,86,DL,0.745,1.7608047690014903,0.13714285714285712,0.08993894993894994
1,86,Debiased-HITL,0.755,1.553651266766021,0.13714285714285712,0.062161172161172146
1,86,FE-HITL,0.75,1.0357675111773472,0.017142857142857126,0.02561660561660563
1,87,DL,0.75,1.4929338609383833,0.1314285714285715,0.0678510378510379
1,87,Debiased-HITL,0.75,1.4929338609383833,0.1314285714285715,0.0678510378510379
1,87,FE-HITL,0.745,0.9429055963821368,0.028571428571428525,0.05381562881562879
1,88,DL,0.715,0.9321907600596125,0.005714285714285672,0.032771672771672755
1,88,Debiased-HITL,0.715,0.9321907600596125,0.005714285714285672,0.032771672771672755
1,88,FE-HITL,0.715,0.9321907600596125,0.005714285714285672,0.032771672771672755
1,89,DL,0.715,1.1815421979356404,0.05714285714285716,0.012011599511599524
1,89,Debiased-HITL,0.715,1.1815421979356404,0.05714285714285716,0.012011599511599524
