fold,seed,model,R2,RMSE,DI,EOD,AOD
2,48,DL,0.7399914939650161,1.9948758424302409,0.6316649743678645,0.10527488193887558,0.10440789273988957
2,48,Debiased-HITL,0.7328051065710166,2.0222561742407454,0.7067114093959732,0.044050164840060635,0.06192129731624521
2,48,FE-HITL,0.7037273513817411,2.129452088775966,0.8553451581975071,0.020605007573732514,0.022604091088453557
2,49,DL,0.7315982151066508,2.0268181886148477,0.675934803451582,0.05613472333600644,0.0761442847449263
2,49,Debiased-HITL,0.7409013483001802,1.9913824238786257,0.6629118748102931,0.07209525082420032,0.08009524445971922
2,49,FE-HITL,0.719391729236549,2.0723940031729478,0.8700718356885098,0.05290474917579968,0.03872343685896211
2,50,DL,0.7387072252335811,1.999796452347793,0.6486295789199586,0.09235498529804864,0.09202608849762017
2,50,Debiased-HITL,0.7221113319613596,2.0623269247515643,0.6964925990622415,0.046623006326294236,0.07676083161247557
2,50,FE-HITL,0.6867366930689316,2.189660869187568,0.863220557138917,0.013721821259912614,0.019345648114693775
2,51,DL,0.7396069704538837,1.996350396627059,0.6114931848914478,0.12466586474204755,0.11382865886675028
2,51,Debiased-HITL,0.7324345300687858,2.0236580366629915,0.6716941773988754,0.08289895749799525,0.06501480231432119
2,51,FE-HITL,0.7203697152133754,2.0687794602071867,0.8913477235624886,0.0636527666399358,0.05633798283156741
3,42,DL,0.729341071371455,2.0545300946974594,0.6408687315019383,0.11698650072220595,0.0971560905161931
3,42,Debiased-HITL,0.7429871327201885,2.002067710444445,0.6773400276653517,0.11571585269171036,0.07226554832710468
3,42,FE-HITL,0.7298749907531961,2.0525026445813013,0.8391823351606127,0.008878245854103572,0.021208503710483245
3,43,DL,0.738341496913377,2.0200808621898036,0.6713458681284902,0.10589819611420637,0.07369195468828059
3,43,Debiased-HITL,0.708955280764635,2.130498289595654,0.6103716654447015,0.16237144191400865,0.09638356832038264
3,43,FE-HITL,0.7144810342384305,2.110176629655221,0.8017314308273645,0.02561930516187194,0.007904102265630465
3,44,DL,0.7364134080293607,2.0275099092549524,0.6279876044377484,0.13673584639277148,0.10063956373114223
3,44,Debiased-HITL,0.7418209207723231,2.0066048230916143,0.6660747395085264,0.122644685541763,0.07558221723025989
3,44,FE-HITL,0.73272583120251,2.0416430835313846,0.8371765074556706,0.007260070157147691,0.02216533908083229
3,45,DL,0.7386889778300433,2.0187390889640286,0.6518931239711283,0.11871870893471914,0.08877678151142415
3,45,Debiased-HITL,0.7309381762429267,2.048459437893676,0.7089710781710202,0.09585247450558765,0.06592681033409077
3,45,FE-HITL,0.6949261329642153,2.1812418998510807,0.9010429240500217,0.01953214087902777,0.048395331612360565
3,46,DL,0.7366646710905156,2.026543320238565,0.6697015849637651,0.10416598790169318,0.08002742297383253
3,46,Debiased-HITL,0.7298326129211071,2.0526636389326103,0.7198764653775865,0.07829689722955291,0.059009297312359654
3,46,FE-HITL,0.6925710208071899,2.1896450992974352,0.9019463885275599,0.015720196787541107,0.04739151488955752
3,47,DL,0.7376559149269176,2.0227255785703067,0.6275930445393533,0.13881558227174495,0.10272933451544033
3,47,Debiased-HITL,0.7437176632453488,1.9992203581496109,0.6838170926380474,0.10589819611420637,0.06630681719354131
3,47,FE-HITL,0.731261006057397,2.04723016230562,0.855524468322491,0.009486419270409052,0.03282195458716419
3,48,DL,0.7367313773899211,2.0262866289544084,0.6358585945722124,0.13846805460528455,0.09550174581227272
3,48,Debiased-HITL,0.7416986587588947,2.00707988580571,0.6914457245678518,0.09561897935468455,0.06221711165859177
3,48,FE-HITL,0.7283686441717786,2.0582175578628346,0.8441025728490658,0.0058753896110947945,0.02409114730160089
3,49,DL,0.731313639399148,2.0470296743905103,0.6504557748171893,0.13107766157321432,0.09429363258106797
3,49,Debiased-HITL,0.7436067018375454,1.9996531080253708,0.673482325494903,0.1127129964487017,0.07643672960592449
3,49,FE-HITL,0.7264262929364622,2.0655632858988686,0.8603959224384224,0.002671618935913722,0.03097933499246057
3,50,DL,0.7377905472871871,2.0222064906971386,0.6573367907260524,0.12553350926921447,0.08536988688207091
3,50,Debiased-HITL,0.7119403839616368,2.1195443910522105,0.7358208038333359,0.07217715222797816,0.05777388284679888
3,50,FE-HITL,0.672687413089788,2.259345670567623,0.875977147420638,0.004745924695098713,0.027648981581590376
3,51,DL,0.7343099818878382,2.035583618469015,0.6137692141156095,0.1549864790017268,0.11591654958261702
3,51,Debiased-HITL,0.7352157314635206,2.0321109569153455,0.642464917632703,0.12830287036132015,0.08564869961290665
3,51,FE-HITL,0.7288704720423116,2.0563154423671355,0.8255829376342946,0.008644750703200477,0.01699803977416424
4,42,DL,0.7484018263914819,2.0327617826039326,0.6438324461930108,0.09436544794897994,0.0804852120219417
4,42,Debiased-HITL,0.7489069743382298,2.030720111637049,0.6609756532914465,0.07893871744756653,0.06461243499917331
4,42,FE-HITL,0.7409697908154345,2.06256646872304,0.8301352991575038,0.036268655824322926,0.0312498268346606
4,43,DL,0.7525410339100103,2.0159712858401475,0.6323207347227128,0.09911121471307238,0.07945469325232082
4,43,Debiased-HITL,0.7200019339101347,2.1444220334361366,0.6261124087159625,0.10410203996246425,0.07064780957053131
4,43,FE-HITL,0.7237660507838491,2.129959134823667,0.8232859296928126,0.04797169275642976,0.0370513259182033
4,44,DL,0.7506231404060181,2.0237684484609755,0.6416316298017913,0.10228502094951197,0.07839473737934818
4,44,Debiased-HITL,0.7518237761192421,2.0188908099645997,0.6730584851390221,0.06094783840484852,0.055616995477814304
4,44,FE-HITL,0.7379954033966845,2.0743746682747584,0.845954242789413,0.031218060212662935,0.03795935752487281
4,45,DL,0.7481584064446669,2.0337448881906828,0.6652824564275315,0.0785263019479161,0.06518778010107813
4,45,Debiased-HITL,0.7476835217445981,2.0356614490320264,0.6794685659498698,0.05934599269606167,0.0490263290978047
4,45,FE-HITL,0.7426511776978169,2.0558614240107134,0.8269004245993699,0.04203649578320101,0.03332718427111424
4,46,DL,0.7520433078282598,2.0179976772541726,0.617042649924226,0.12201521753423339,0.09458728755931534
4,46,Debiased-HITL,0.722539550969468,2.1346824881679316,0.6925397466271549,0.0500517013633619,0.07063935924958435
4,46,FE-HITL,0.6770874134672594,2.302900805301835,0.8609953606715981,0.0006395428762694388,0.02330784598368779
4,47,DL,0.7406282636319842,2.0639257512550877,0.6271478732388106,0.10846527640804038,0.08439224171704815
4,47,Debiased-HITL,0.747337102044416,2.0370584076249165,0.6509608057363729,0.0890100234897524,0.06623634930484736
4,47,FE-HITL,0.7404686971886346,2.0645605209873046,0.8475380787557727,0.040022234574763726,0.04181539978018116
4,48,DL,0.7506119114650808,2.023814011069729,0.6473692299810441,0.09306843108776075,0.08035773882581879
4,48,Debiased-HITL,0.7415279347736469,2.060343118354091,0.6827311819314392,0.055652184307888986,0.06504468102379823
4,48,FE-HITL,0.7144946563070461,2.16540864142776,0.8322549531808866,0.00035264513738209047,0.016694798323988208
4,49,DL,0.7523213554570252,2.016865913375642,0.6455242743833348,0.09637970915741723,0.07544208148330081
4,49,Debiased-HITL,0.7449986735965316,2.046463318949195,0.6721933714049102,0.059513349710412555,0.05937023344249219
4,49,FE-HITL,0.7303312220261775,2.1044958735874957,0.8235882748744846,0.014219369183596675,0.022351007271003184
4,50,DL,0.7481050254450482,2.033960415700131,0.6356185310424142,0.10747308839438874,0.08519873579643907
4,50,Debiased-HITL,0.7126746849333931,2.1722994426987343,0.712627562747081,0.050768945710579994,0.060183374096187514
4,50,FE-HITL,0.666070206065877,2.341856769986698,0.8712880389813368,0.009138888390802569,0.030456558785638327
4,51,DL,0.7495811752428205,2.02799197212012,0.6091822340016243,0.13310859677120512,0.10276416304149005
4,51,Debiased-HITL,0.7505173458082505,2.0241976804805817,0.674390395070036,0.06699062203016015,0.05678975427851132
4,51,FE-HITL,0.7402131644087024,2.065576647151512,0.8422110463777868,0.034391866449102526,0.036117848800170146
