Exp,ratio,seed,model,R2,RMSE,DI,EOD,AOD
IntervSens,0.1,61,DL,0.7217364048155819,2.0276581757833383,0.7342016599556249,0.12907191753875213,0.06951603845065096
IntervSens,0.1,61,FE-HITL,0.7181570588790361,2.0406575402401312,0.7512066695919263,0.09876858918876386,0.06233250176569667
IntervSens,0.1,62,DL,0.7448087402191026,1.986338418909546,0.5925913277096638,0.11893178212585931,0.10358682813346563
IntervSens,0.1,62,FE-HITL,0.7258506139998913,2.058799165138415,0.5774658185274549,0.13283976731887892,0.10059723033079361
IntervSens,0.1,63,DL,0.7421965795006824,2.043043409306394,0.7266517357222845,0.08297872340425527,0.046812756024844304
IntervSens,0.1,63,FE-HITL,0.7107028664196618,2.1642395142356596,0.7436048731387317,0.08068813494345406,0.05075743995873855
IntervSens,0.1,64,DL,0.7357144081101157,2.0022861824528757,0.5808302698825429,0.1518163966617575,0.10305505754514924
IntervSens,0.1,64,FE-HITL,0.6747729490540466,2.2211747983485814,0.5614035087719298,0.1389297987236131,0.07865233180715622
IntervSens,0.1,65,DL,0.7576145512391226,1.9953507097485124,0.6334376070151947,0.08358227532984808,0.0616137540729063
IntervSens,0.1,65,FE-HITL,0.7544970694672232,2.008141485126665,0.6771553787795087,0.07107294000497888,0.043119618561247755
IntervSens,0.1,66,DL,0.7209403173827079,2.051727746916431,0.6241258741258742,0.11587888894679244,0.07819814869146999
IntervSens,0.1,66,FE-HITL,0.703938612515913,2.1133044563128283,0.6414093598708983,0.09818124967429254,0.08500561740868556
IntervSens,0.1,67,DL,0.7438668901716516,1.9794745721821252,0.5989393413968607,0.13468636359514297,0.1122354061901557
IntervSens,0.1,67,FE-HITL,0.726344661589845,2.0460631248875605,0.6712210177657332,0.08217028955935823,0.0728181217167272
IntervSens,0.1,68,DL,0.7355035110812693,2.0672931877684877,0.689922480620155,0.060477849676455975,0.0563894223506658
IntervSens,0.1,68,FE-HITL,0.7356651072307846,2.0666615770027654,0.672684382823031,0.07665505226480829,0.06026471518713051
IntervSens,0.1,69,DL,0.726131153849223,2.0715730346508736,0.6825601831637576,0.11052145823719428,0.07256045837484813
IntervSens,0.1,69,FE-HITL,0.7137829257674201,2.117759810055477,0.6977967161515601,0.10809875403784042,0.0730014394492435
IntervSens,0.1,70,DL,0.7344579940009398,2.0471883871527616,0.6351640065351263,0.1479624643330788,0.11371370126703825
IntervSens,0.1,70,FE-HITL,0.7112850460946623,2.1346458468513765,0.5388961178001416,0.21567937949604143,0.13959706908904318
IntervSens,0.1,71,DL,0.7495309768988754,2.0204631199319083,0.5838157894736842,0.1855453489599831,0.12093308977574355
IntervSens,0.1,71,FE-HITL,0.7370660625940832,2.0701281884631624,0.5929572131768268,0.1671418012881427,0.09757250918395582
IntervSens,0.25,42,DL,0.7339830962137703,1.9810958768142408,0.686039886039886,0.1158949745906267,0.08429522891746002
IntervSens,0.25,42,FE-HITL,0.7224777901128638,2.0234838824666026,0.7235576923076923,0.07678268936032917,0.06992435613632549
IntervSens,0.25,43,DL,0.7336097445550944,2.0584390266288013,0.6502102009866968,0.1046712802768166,0.08421579393998548
IntervSens,0.25,43,FE-HITL,0.7234165302822484,2.097451611206798,0.675734197377491,0.09429065743944631,0.06963606851783902
IntervSens,0.25,44,DL,0.7282787193822127,2.041768665182814,0.623478566648139,0.18821343002122637,0.13232147564891106
IntervSens,0.25,44,FE-HITL,0.7177865617329462,2.08081539825051,0.6817155756207675,0.16634933360056114,0.1007943476513444
IntervSens,0.25,45,DL,0.7503979484569517,1.9692293598738808,0.6521551724137932,0.1087224114733919,0.07709761356627148
IntervSens,0.25,45,FE-HITL,0.7320455028404278,2.0403409783343975,0.700361736334405,0.09147033845742802,0.06271922037425584
IntervSens,0.25,46,DL,0.7342079291756273,2.048245376942295,0.6736605531012044,0.15043150381094494,0.09665799397544073
IntervSens,0.25,46,FE-HITL,0.7281888848874923,2.0713075062214443,0.7299573966150098,0.09868129209178533,0.06977401597556834
IntervSens,0.25,47,DL,0.7532531804085412,1.9239764193601978,0.6124078254326561,0.12230576441102758,0.11244278326954217
IntervSens,0.25,47,FE-HITL,0.7425439022012392,1.9652850676438753,0.6614665981270813,0.11146616541353382,0.08907637186114437
IntervSens,0.25,48,DL,0.7392507651912046,2.0153520009691994,0.6560856949625847,0.11322961155175926,0.059434054280650656
IntervSens,0.25,48,FE-HITL,0.7159690166702903,2.103401833991604,0.6983758779612592,0.08282489322757769,0.04681885973832277
IntervSens,0.25,49,DL,0.7455891186495411,1.994294104230412,0.6439890410958904,0.14902280130293155,0.08643574275672894
IntervSens,0.25,49,FE-HITL,0.7329551175916302,2.0432122980151273,0.7117911442764672,0.11902507385804106,0.053286033169622035
IntervSens,0.25,50,DL,0.752989194133646,2.008466036492822,0.622934375164986,0.14808854907539115,0.0981953284018642
IntervSens,0.25,50,FE-HITL,0.7414859672559666,2.0547007391061762,0.6562768578467885,0.10955725462304411,0.06320954066046819
IntervSens,0.25,51,DL,0.7455972454280866,1.9873792032494382,0.6963389551624846,0.1076717745921898,0.061619126996469424
IntervSens,0.25,51,FE-HITL,0.7327733711378386,2.0368530733477046,0.7634280903774748,0.07663865546218485,0.038647043086897676
IntervSens,0.25,52,DL,0.723358694027788,2.022273293729801,0.7274218789439145,0.04091529637100888,0.049438040342367186
IntervSens,0.25,52,FE-HITL,0.7047158905443766,2.089302729524348,0.7155829715132903,0.03294822421908439,0.04921921014875789
IntervSens,0.25,53,DL,0.7487542459757378,2.0016492976471785,0.6098752282410226,0.194378260029622,0.12447060864399852
IntervSens,0.25,53,FE-HITL,0.7218705726542165,2.106018072913806,0.6667930360736054,0.16454161032047576,0.10033010435161253
