fold,model,Acc,DI,EOD
0,Debiased-HITL,0.75,0.376657824933687,0.2
0,FE-HITL,0.77,1.6949602122015914,0.25
0,DL,0.74,1.872210953346856,0.125
0,Debiased-HITL,0.735,0.2880324543610548,0.17500000000000002
0,FE-HITL,0.74,1.0081135902636917,0.025000000000000022
0,DL,0.77,1.3426028921023359,0.125
0,Debiased-HITL,0.765,1.263626251390434,0.07500000000000007
0,FE-HITL,0.77,1.1846496106785318,0.07500000000000007
0,DL,0.73,1.5967016491754122,0.2
0,Debiased-HITL,0.725,0.6386806596701649,0.04999999999999999
0,FE-HITL,0.73,0.9580209895052474,0.04999999999999999
0,DL,0.725,2.693103448275862,0.125
0,Debiased-HITL,0.72,0.0,0.175
0,FE-HITL,0.725,1.2241379310344829,0.024999999999999994
0,DL,0.76,1.4689655172413794,0.22500000000000003
0,Debiased-HITL,0.765,1.3873563218390803,0.22500000000000003
0,FE-HITL,0.77,1.3057471264367817,0.22500000000000003
0,DL,0.745,1.1751724137931034,0.10000000000000003
0,Debiased-HITL,0.745,1.1751724137931034,0.10000000000000003
0,FE-HITL,0.745,1.1751724137931034,0.10000000000000003
1,DL,0.73,0.8545081967213114,0.057142857142857106
1,Debiased-HITL,0.73,0.8545081967213114,0.057142857142857106
1,FE-HITL,0.73,0.8545081967213114,0.057142857142857106
1,DL,0.72,1.3925318761384335,0.21142857142857147
1,Debiased-HITL,0.72,1.2659380692167577,0.17142857142857143
1,FE-HITL,0.715,1.20264116575592,0.1314285714285715
1,DL,0.74,1.3292349726775956,0.09714285714285714
1,Debiased-HITL,0.735,1.2342896174863387,0.05714285714285716
1,FE-HITL,0.73,1.1393442622950818,0.017142857142857126
1,DL,0.72,1.2659380692167577,0.24
1,Debiased-HITL,0.72,1.2659380692167577,0.24
1,FE-HITL,0.715,1.20264116575592,0.19999999999999996
1,DL,0.76,1.464871194379391,0.19999999999999996
1,Debiased-HITL,0.74,1.139344262295082,0.03999999999999998
1,FE-HITL,0.735,1.0579625292740047,0.0
1,DL,0.755,1.1993097497842966,0.022857142857142854
1,Debiased-HITL,0.755,1.1993097497842966,0.022857142857142854
1,FE-HITL,0.755,1.1993097497842966,0.022857142857142854
1,DL,0.75,0.7595628415300546,0.07428571428571429
1,Debiased-HITL,0.745,0.8861566484517305,0.07428571428571429
1,FE-HITL,0.75,1.0127504553734064,0.03428571428571425
1,DL,0.725,1.3870277975766216,0.017142857142857126
1,Debiased-HITL,0.73,0.6935138987883108,0.10285714285714287
1,FE-HITL,0.725,0.7925873129009267,0.10285714285714287
1,DL,0.725,1.3146279949558637,0.09714285714285714
1,Debiased-HITL,0.72,1.2269861286254728,0.05714285714285716
1,FE-HITL,0.715,0.9640605296343001,0.022857142857142854
1,DL,0.725,1.7903981264637003,0.12
1,Debiased-HITL,0.7,0.0,0.2
1,FE-HITL,0.725,1.139344262295082,0.03999999999999998
1,DL,0.745,1.640655737704918,0.14857142857142858
1,Debiased-HITL,0.725,0.9114754098360656,0.09142857142857141
1,FE-HITL,0.735,1.0937704918032787,0.011428571428571455
1,DL,0.71,1.3192407247627265,0.04571428571428571
1,Debiased-HITL,0.715,0.9594477998274374,0.08571428571428569
1,FE-HITL,0.72,0.8395168248490077,0.08571428571428569
1,DL,0.7,1.772313296903461,0.02285714285714291
1,Debiased-HITL,0.71,0.5063752276867032,0.13714285714285712
1,FE-HITL,0.72,1.0127504553734064,0.017142857142857126
1,DL,0.745,1.439171699741156,0.04571428571428571
1,Debiased-HITL,0.74,0.5996548748921483,0.11428571428571427
1,FE-HITL,0.74,1.3192407247627265,0.005714285714285727
1,DL,0.74,1.0357675111773472,0.04571428571428571
1,Debiased-HITL,0.74,1.0357675111773472,0.04571428571428571
1,FE-HITL,0.74,1.0357675111773472,0.04571428571428571
1,DL,0.72,1.3021077283372366,0.20571428571428574
1,Debiased-HITL,0.715,1.2207259953161593,0.1657142857142857
1,FE-HITL,0.71,0.9765807962529274,0.08571428571428574
1,DL,0.715,1.6879174256223435,0.17714285714285716
1,Debiased-HITL,0.72,0.928354584092289,0.017142857142857126
1,FE-HITL,0.73,1.0971463266545232,0.09714285714285714
1,DL,0.745,1.9938524590163933,0.32571428571428573
1,Debiased-HITL,0.72,0.7595628415300546,0.03428571428571425
1,FE-HITL,0.735,1.6140710382513659,0.20571428571428574
1,DL,0.74,1.2496033844526704,0.16000000000000003
1,Debiased-HITL,0.74,1.2496033844526704,0.16000000000000003
1,FE-HITL,0.74,1.2496033844526704,0.16000000000000003
1,DL,0.75,1.1993097497842966,0.12571428571428578
1,Debiased-HITL,0.75,1.1993097497842966,0.12571428571428578
1,FE-HITL,0.75,1.1993097497842966,0.12571428571428578
1,DL,0.73,1.434729811778992,0.24571428571428577
1,Debiased-HITL,0.725,1.350333940497875,0.20571428571428574
1,FE-HITL,0.72,1.2659380692167577,0.1657142857142857
1,DL,0.715,1.323109465891063,0.14857142857142858
1,Debiased-HITL,0.715,1.323109465891063,0.14857142857142858
1,FE-HITL,0.73,0.955579058699101,0.10857142857142854
1,DL,0.72,1.5191256830601092,0.12571428571428572
1,Debiased-HITL,0.72,0.9494535519125682,0.005714285714285727
1,FE-HITL,0.725,1.044398907103825,0.04571428571428571
1,DL,0.745,1.6084860173577626,0.1428571428571429
1,Debiased-HITL,0.72,0.40212150433944066,0.13714285714285712
1,FE-HITL,0.72,0.9382835101253616,0.057142857142857106
1,DL,0.72,1.2496033844526704,0.14857142857142858
1,Debiased-HITL,0.72,1.2496033844526704,0.14857142857142858
1,FE-HITL,0.72,1.2496033844526704,0.14857142857142858
1,DL,0.715,1.736143637782982,0.11428571428571432
1,Debiased-HITL,0.705,0.4340359094457455,0.1657142857142857
1,FE-HITL,0.71,0.9765807962529274,0.04571428571428571
1,DL,0.7,2.278688524590164,0.01142857142857143
1,Debiased-HITL,0.7,2.278688524590164,0.01142857142857143
1,FE-HITL,0.7,2.278688524590164,0.01142857142857143
1,DL,0.72,1.206364513018322,0.16000000000000003
1,Debiased-HITL,0.72,1.206364513018322,0.16000000000000003
1,FE-HITL,0.72,1.206364513018322,0.16000000000000003
1,DL,0.705,1.139344262295082,0.01142857142857143
1,Debiased-HITL,0.705,1.139344262295082,0.01142857142857143
1,FE-HITL,0.705,1.139344262295082,0.01142857142857143
1,DL,0.74,1.3672131147540985,0.16000000000000003
1,Debiased-HITL,0.74,1.2153005464480875,0.12
1,FE-HITL,0.73,1.0633879781420765,0.03999999999999998
2,DL,0.74,1.6727716727716728,0.11633372502937717
2,Debiased-HITL,0.73,1.0036630036630036,0.10105757931844889
2,FE-HITL,0.73,1.170940170940171,0.0575793184488837
2,DL,0.755,1.499726327312534,0.1057579318448883
2,Debiased-HITL,0.75,1.2747673782156541,0.01880141010575792
2,FE-HITL,0.75,1.2747673782156541,0.01880141010575792
2,DL,0.74,1.2747673782156541,0.11633372502937717
2,Debiased-HITL,0.74,1.2747673782156541,0.11633372502937717
2,FE-HITL,0.73,1.1247947454844007,0.029377203290246734
2,DL,0.74,1.4497354497354495,0.13278495887191533
2,Debiased-HITL,0.74,1.1597883597883596,0.04582843713278495
2,FE-HITL,0.74,1.1597883597883596,0.04582843713278495
