bias,model,metric,mean,sd,n,ci_low,ci_high,seeds,display
0.4,DL,EOD,0.1900955572514699,0.04327103680031142,30,0.17461150012433255,0.20557961437860725,42-71,"0.190 ± 0.043 [0.175, 0.206]"
0.4,DL,AOD,0.13989848867141888,0.03107005338004732,30,0.12878041716090685,0.1510165601819309,42-71,"0.140 ± 0.031 [0.129, 0.151]"
0.4,Debiased-HITL,R2,0.7304248238123096,0.017793261409642266,30,0.7240577039899575,0.7367919436346616,42-71,"0.730 ± 0.018 [0.724, 0.737]"
0.4,Debiased-HITL,RMSE,2.058792359346649,0.06676042579990737,30,2.0349028867719974,2.0826818319213003,42-71,"2.059 ± 0.067 [2.035, 2.083]"
0.4,Debiased-HITL,DI,0.6037515382467084,0.04491135065459799,30,0.5876805131311814,0.6198225633622353,42-71,"0.604 ± 0.045 [0.588, 0.620]"
0.4,Debiased-HITL,EOD,0.11967945328611167,0.041671904983402897,30,0.10476762761534321,0.1345912789568801,42-71,"0.120 ± 0.042 [0.105, 0.135]"
0.4,Debiased-HITL,AOD,0.08765100316055013,0.022123113250593254,30,0.07973449422679955,0.09556751209430071,42-71,"0.088 ± 0.022 [0.080, 0.096]"
0.4,FE-HITL,R2,0.6781374926379896,0.03039957787518718,30,0.6672593432968379,0.6890156419791413,42-71,"0.678 ± 0.030 [0.667, 0.689]"
0.4,FE-HITL,RMSE,2.2486152719393773,0.10559983332239582,30,2.2108275512677897,2.286402992610965,42-71,"2.249 ± 0.106 [2.211, 2.286]"
0.4,FE-HITL,DI,0.8705493666621921,0.03741975908087288,30,0.8571591239008312,0.883939609423553,42-71,"0.871 ± 0.037 [0.857, 0.884]"
0.4,FE-HITL,EOD,0.034318605745697686,0.018355253345486697,30,0.027750383387259776,0.040886828104135596,42-71,"0.034 ± 0.018 [0.028, 0.041]"
0.4,FE-HITL,AOD,0.0675478747350298,0.022499336581510463,30,0.05949673848519785,0.07559901098486174,42-71,"0.068 ± 0.022 [0.059, 0.076]"
